,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
Estados Unidos Mexicanos,"91,158,290","10,724,100","10,867,563","10,670,048","10,142,071","9,397,424","7,613,090","6,564,605","5,820,178","4,434,317","3,612,452","2,896,049","2,231,897","1,941,953","1,425,809","1,079,803","666,196","434,120","252,802","105,150","49,764","14,046","214,853"
Aguascalientes,"862,720","112,429","107,680","104,083","97,061","88,901","71,839","62,217","52,549","40,131","31,678","24,525","17,646","15,900","11,870","9,452","5,771","3,892","2,428",975,380,59,"1,254"
Baja California,"2,112,140","257,856","238,928","208,902","215,142","240,052","208,348","175,151","143,144","105,499","80,606","64,059","47,838","40,558","29,724","21,048","12,270","7,248","3,702","1,336",572,141,"10,016"
Baja California Sur,"375,494","42,732","42,977","41,165","40,586","39,231","34,454","30,976","26,784","19,764","14,905","11,611","8,618","6,868","5,061","3,560","2,353","1,430",795,321,149,35,"1,119"
Campeche,"642,516","80,026","80,680","77,875","71,464","64,693","52,129","45,219","40,558","30,851","24,521","18,502","14,680","12,842","9,347","7,362","4,504","2,674","1,449",682,304,125,"2,029"
Coahuila de Zaragoza,"2,173,775","253,150","241,326","236,394","240,739","231,564","187,979","164,412","143,230","109,439","90,101","72,230","56,802","47,416","35,309","25,443","15,572","9,618","5,983","2,044",873,169,"3,982"
Colima,"488,028","54,512","57,304","57,444","55,665","50,183","39,747","35,694","32,099","24,674","19,427","15,550","11,815","9,813","7,519","6,251","4,261","2,778","1,551",659,335,74,673
Chiapas,"3,584,786","501,668","509,161","473,016","417,806","339,774","273,873","222,885","207,954","151,151","124,169","96,273","71,025","61,519","40,548","31,734","18,589","13,071","6,412","3,612","1,848","1,074","17,624"
Chihuahua,"2,793,537","330,996","320,170","293,173","291,853","299,966","254,432","216,249","181,098","134,678","110,031","93,325","74,656","63,150","45,828","32,628","19,503","12,527","7,069","2,387",988,218,"8,612"
Distrito Federal,"8,489,007","780,705","785,466","781,808","848,416","964,075","826,960","725,263","643,428","499,935","402,093","325,253","235,829","212,782","158,713","119,920","71,291","46,687","26,414","10,508","4,126",685,"18,650"
Durango,"1,431,748","175,246","180,229","175,910","165,403","140,244","109,163","95,654","83,865","64,382","54,268","45,710","37,306","33,863","24,605","17,811","10,563","7,168","4,640","1,612",692,189,"3,225"
Guanajuato,"4,406,568","561,702","561,618","557,242","513,332","443,945","345,170","292,316","255,552","196,209","157,073","127,784","96,922","90,404","67,006","53,790","31,365","23,999","14,196","6,241","2,681",551,"7,470"
Guerrero,"2,916,567","388,050","399,798","387,415","336,443","265,340","205,582","177,944","165,407","126,571","106,096","86,328","67,228","63,816","42,877","35,686","20,694","14,734","7,581","3,822","2,028",894,"12,233"
Hidalgo,"2,112,473","252,617","265,590","269,753","239,592","201,620","162,352","141,617","132,294","98,208","83,345","65,824","51,647","44,554","33,606","26,160","17,386","10,546","6,056","2,712","1,473",514,"5,007"
Jalisco,"5,991,176","701,617","717,968","715,201","676,896","615,402","482,529","413,098","365,641","291,118","237,708","192,416","143,341","125,183","95,384","79,247","53,066","36,385","19,954","8,299","3,510",820,"16,393"
México,"11,707,964","1,364,484","1,382,651","1,344,420","1,305,765","1,295,228","1,058,142","913,299","793,800","586,683","457,065","349,220","251,155","204,472","145,024","101,342","59,674","34,930","21,492","8,673","4,715","1,000","24,730"
