,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 y más años,No especificado
Total,"97,483,412","10,635,157","11,215,323","10,736,493","9,992,135","9,071,134","8,157,743","7,136,523","6,352,538","5,194,833","4,072,091","3,357,953","2,559,231","2,198,146","1,660,785","1,245,674","1,843,852","2,053,801"
Aguascalientes,"944,285","116,137","117,375","108,532","99,577","87,508","79,200","70,317","60,839","49,365","37,541","30,202","22,094","17,759","13,752","10,714","16,629","6,744"
Baja California,"2,487,367","268,682","260,331","226,758","220,707","231,966","230,907","197,807","165,348","126,564","92,839","73,548","53,639","44,174","32,561","23,192","30,528","207,816"
Baja California Sur,"424,041","45,613","45,929","43,302","42,376","42,278","40,264","35,609","31,282","25,053","18,593","14,109","10,631","8,248","6,145","4,176","6,220","4,213"
Campeche,"690,689","78,424","83,090","80,246","73,769","66,395","57,599","50,021","45,603","36,088","28,962","22,362","16,699","14,546","10,683","8,374","12,262","5,566"
Coahuila de Zaragoza,"2,298,070","253,171","257,228","234,659","225,416","223,857","204,662","179,690","157,386","128,951","98,997","82,932","63,057","53,853","39,173","28,943","39,249","26,846"
Colima,"542,627","53,295","57,165","57,422","54,826","48,878","43,310","38,024","35,524","29,529","22,683","18,269","14,053","11,339","8,777","6,599","11,379","31,555"
Chiapas,"3,920,892","483,372","518,550","488,791","433,517","361,994","292,960","242,588","226,620","174,699","141,959","110,635","83,843","72,099","49,327","37,597","53,784","148,557"
Chihuahua,"3,052,907","334,521","341,921","306,679","290,939","280,013","272,404","242,428","207,365","162,697","121,932","103,012","81,615","71,437","51,719","37,728","49,168","97,329"
Distrito Federal,"8,605,239","737,934","764,094","742,986","798,349","832,517","840,487","731,452","655,973","556,565","441,804","373,595","269,845","227,283","175,174","134,345","193,838","128,998"
Durango,"1,448,661","168,897","177,062","172,365","150,569","129,322","113,003","100,022","90,218","73,203","57,469","48,972","39,206","36,689","27,761","20,362","27,788","15,753"
Guanajuato,"4,663,032","564,593","582,207","560,147","501,053","435,713","371,568","322,249","280,637","229,441","177,786","146,282","111,802","98,676","76,586","62,089","93,714","48,489"
Guerrero,"3,079,649","391,873","411,408","394,613","333,331","265,129","215,653","186,082","176,165","142,041","117,329","96,611","76,908","72,841","54,139","42,207","61,675","41,644"
Hidalgo,"2,235,591","243,558","277,830","271,378","235,368","195,771","172,960","155,351","143,447","117,852","95,309","77,766","60,808","51,719","40,119","30,440","47,850","18,065"
Jalisco,"6,322,002","703,272","720,270","708,813","673,570","589,706","529,194","453,186","397,738","334,653","264,177","224,975","169,779","140,629","108,075","84,182","142,533","77,250"
México,"13,096,686","1,366,320","1,447,047","1,363,554","1,307,977","1,250,900","1,154,041","1,008,308","883,172","706,988","535,083","422,987","303,755","242,540","178,159","123,108","169,897","632,850"
Michoacán de Ocampo,"3,985,667","453,339","492,453","498,316","436,043","357,857","294,099","255,792","233,456","196,428","154,267","132,493","102,326","94,498","75,177","61,639","94,513","52,971"
Morelos,"1,555,296","160,901","173,589","166,002","156,544","137,988","123,189","109,174","100,957","84,779","66,776","53,966","41,813","36,295","30,268","22,033","31,519","59,503"
